FEN: rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR, Games: 176, Wins: 83, Losses: 82, Draws: 11
FEN: r1b2rk1/ppqnbppp/2pp1n2/3Pp3/2P1P3/2N1BP2/PP2N1PP/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b2rk1/ppqnbppp/2pp1n2/3Pp3/2P1P1P1/2N1BP2/PP2N2P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b2rk1/ppqnbppp/3p1n2/3pp3/2P1P1P1/2N1BP2/PP2N2P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b2rk1/ppqnbppp/3p1n2/3Pp3/4P1P1/2N1BP2/PP2N2P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b2rk1/p1qnbppp/1p1p1n2/3Pp3/4P1P1/2N1BP2/PP2N2P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b2rk1/p1qnbppp/1p1p1n2/3Pp3/4P1P1/2N1BPN1/PP5P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b2rk1/2qnbppp/1p1p1n2/p2Pp3/4P1P1/2N1BPN1/PP5P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b2rk1/2qnbppp/1p1p1n2/pN1Pp3/4P1P1/4BPN1/PP5P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqb2rk1/3nbppp/1p1p1n2/pN1Pp3/4P1P1/4BPN1/PP5P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqb2rk1/3nbppp/1p1p1n2/pN1PpN2/4P1P1/4BP2/PP5P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqb1r1k1/3nbppp/1p1p1n2/pN1PpN2/4P1P1/4BP2/PP5P/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqb1r1k1/3nbppp/1p1p1n2/pN1PpN2/4P1P1/4BP2/PP5P/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqb1r1k1/4bppp/1p1p1n2/pNnPpN2/4P1P1/4BP2/PP5P/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqb1r1k1/4bppp/1p1p1n2/pNnPpN2/4P1PP/4BP2/PP6/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqb1rbk1/5ppp/1p1p1n2/pNnPpN2/4P1PP/4BP2/PP6/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqb1rbk1/5ppp/1p1p1n2/pNnPp3/4P1PP/4BPN1/PP6/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rq2rbk1/5ppp/bp1p1n2/pNnPp3/4P1PP/4BPN1/PP6/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rq2rbk1/5ppp/bp1p1n2/pNnPp3/4P1PP/P3BPN1/1P6/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r2qrbk1/5ppp/bp1p1n2/pNnPp3/4P1PP/P3BPN1/1P6/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r2qrbk1/5ppp/bp1p1n2/pNnPp3/1P2P1PP/P3BPN1/8/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r2qrbk1/5ppp/1p1p1n2/pbnPp3/1P2P1PP/P3BPN1/8/2RQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r2qrbk1/5ppp/1p1p1n2/pBnPp3/1P2P1PP/P3BPN1/8/2RQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r2qrbk1/5ppp/1p1p1n2/1BnPp3/1p2P1PP/P3BPN1/8/2RQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r2qrbk1/5ppp/1p1p1n2/1BnPp3/1P2P1PP/4BPN1/8/2RQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r2qrbk1/3n1ppp/1p1p1n2/1B1Pp3/1P2P1PP/4BPN1/8/2RQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r2qrbk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/4BP2/8/2RQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rq2rbk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/4BP2/8/2RQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rq2rbk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/4BP2/8/2RQ1RK1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqr2bk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/4BP2/8/2RQ1RK1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rqR2bk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/4BP2/8/3Q1RK1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1q2bk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/4BP2/8/3Q1RK1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1q2bk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/4BP2/3Q4/5RK1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 2q2bk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/r3BP2/3Q4/5RK1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 2q2bk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/r3BP2/3Q4/2R3K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 1q3bk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/r3BP2/3Q4/2R3K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 1q3bk1/3n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/r3BP2/3Q2K1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5bk1/q2n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/r3BP2/3Q2K1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5bk1/q2n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/r4P2/3Q1BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5bk1/q2n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/5P2/r2Q1BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5bk1/q2n1ppp/1p1p1n2/1B1PpN2/1P2P1PP/2Q2P2/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5bk1/q2n1p1p/1p1p1np1/1B1PpN2/1P2P1PP/2Q2P2/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5bk1/q2n1p1p/1p1p1np1/1B1Pp3/1P2P1PP/2Q2PN1/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 6k1/q2nbp1p/1p1p1np1/1B1Pp3/1P2P1PP/2Q2PN1/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 6k1/q2nbp1p/1p1p1np1/1B1Pp1P1/1P2P2P/2Q2PN1/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 6k1/q2nbp1p/1p1p2p1/1B1Pp1Pn/1P2P2P/2Q2PN1/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 6k1/q2nbp1p/1p1p2p1/1B1Pp1PN/1P2P2P/2Q2P2/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 6k1/q2nbp1p/1p1p4/1B1Pp1Pp/1P2P2P/2Q2P2/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 2Q3k1/q2nbp1p/1p1p4/1B1Pp1Pp/1P2P2P/5P2/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 2Q2nk1/q3bp1p/1p1p4/1B1Pp1Pp/1P2P2P/5P2/r4BK1/2R5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 2Q2nk1/q1R1bp1p/1p1p4/1B1Pp1Pp/1P2P2P/5P2/r4BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 2Q2nk1/2R1bp1p/1p1p4/1B1Pp1Pp/1P2P2P/q4P2/r4BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 2Q2nk1/4bp1p/1p1p4/1B1Pp1Pp/1P2P2P/q4P2/r1R2BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 2Q2nk1/4bp1p/1p1p4/1B1Pp1Pp/1P2P2P/q4P2/2r2BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5nk1/4bp1p/1p1p4/1B1Pp1Pp/1P2P2P/q4P2/2Q2BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5nk1/4bp1p/1p1p4/1B1Pp1Pp/1q2P2P/5P2/2Q2BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5nk1/4bp1p/1p1p4/3Pp1Pp/1q2P2P/5P2/2Q2BK1/5B2, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5nk1/4bp1p/1p1p4/q2Pp1Pp/4P2P/5P2/2Q2BK1/5B2, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5nk1/4bp1p/1p1p4/q2Pp1Pp/4P2P/1Q3P2/5BK1/5B2, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5nk1/q3bp1p/1p1p4/3Pp1Pp/4P2P/1Q3P2/5BK1/5B2, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 5nk1/q3bp1p/1p1p4/1Q1Pp1Pp/4P2P/5P2/5BK1/5B2, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1nk1/q4p1p/1p1p4/1Q1Pp1Pp/4P2P/5P2/5BK1/5B2, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1nk1/q4p1p/1p1p4/1Q1Pp1Pp/4P2P/5P2/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1nk1/2q2p1p/1p1p4/1Q1Pp1Pp/4P2P/5P2/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1nk1/2q2p1p/1p1p4/1Q1Pp1Pp/4PP1P/8/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b2k1/2qn1p1p/1p1p4/1Q1Pp1Pp/4PP1P/8/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b2k1/2qn1p1p/1p1p4/1Q1PpPPp/4P2P/8/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b2k1/2qn3p/1p1p1p2/1Q1PpPPp/4P2P/8/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b2k1/2qn3p/1p1p1pP1/1Q1PpP1p/4P2P/8/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b2k1/2qn4/1p1p1pp1/1Q1PpP1p/4P2P/8/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b2k1/2qn4/1p1p1pP1/1Q1Pp2p/4P2P/8/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1nk1/2q5/1p1p1pP1/1Q1Pp2p/4P2P/8/4BBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1nk1/2q5/1p1p1pP1/1Q1Pp2B/4P2P/8/5BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1n2/2q3k1/1p1p1pP1/1Q1Pp2B/4P2P/8/5BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1n2/2q3k1/1p1p1pP1/3Pp2B/4P2P/8/4QBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2q3k1/1p1p1pn1/3Pp2B/4P2P/8/4QBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2q3k1/1p1p1pB1/3Pp3/4P2P/8/4QBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2q5/1p1p1pk1/3Pp3/4P2P/8/4QBK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2q5/1p1p1pk1/3Pp3/4P1QP/8/5BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2q2k2/1p1p1p2/3Pp3/4P1QP/8/5BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2q2k2/1p1pQp2/3Pp3/4P2P/8/5BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1k2/2q5/1p1pQp2/3Pp3/4P2P/8/5BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1k2/2q5/1p1pQp2/3Pp3/4P2P/4B3/6K1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1k2/6q1/1p1pQp2/3Pp3/4P2P/4B3/6K1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1k2/6q1/1p1pQp2/3Pp3/4P2P/4B2K/8/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1k2/4q3/1p1pQp2/3Pp3/4P2P/4B2K/8/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b1k2/4q3/1p1pQp1B/3Pp3/4P2P/7K/8/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3bk3/4q3/1p1pQp1B/3Pp3/4P2P/7K/8/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3bk1Q1/4q3/1p1p1p1B/3Pp3/4P2P/7K/8/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b2Q1/3kq3/1p1p1p1B/3Pp3/4P2P/7K/8/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/3kq3/1p1p1p1B/3Pp3/4P1QP/7K/8/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2k1q3/1p1p1p1B/3Pp3/4P1QP/7K/8/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2k1q3/1p1p1p1B/3Pp3/4P2P/7K/8/3Q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2kq4/1p1p1p1B/3Pp3/4P2P/7K/8/3Q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2kq4/1p1p1p1B/3Pp3/4P2P/8/7K/3Q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2kq4/1p1p3B/3Ppp2/4P2P/8/7K/3Q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/2kq4/1p1p4/3Ppp2/4P2P/4B3/7K/3Q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1k1q4/1p1p4/3Ppp2/4P2P/4B3/7K/3Q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1k1q4/1p1p4/3Ppp2/4P2P/4B3/2Q4K/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1k1q4/1p1p4/3Pp3/4Pp1P/4B3/2Q4K/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1k1q4/1p1p4/3Pp3/4Pp1P/8/2Q2B1K/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1kq5/1p1p4/3Pp3/4Pp1P/8/2Q2B1K/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1kq5/1p1p4/3Pp3/4Pp1P/1Q6/5B1K/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1k6/1p1p4/3Pp3/4Pp1P/1Q6/5B1K/2q5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1k6/1p1p4/3Pp3/1Q2Pp1P/8/5B1K/2q5, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1k6/1p1p4/3Pp3/1Q2Pp1P/8/2q2B1K/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 3b4/1k6/1p1p4/3Pp3/1Q2Pp1P/8/2q2BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3Pp3/1Q2Pp1P/8/2q2BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3Pp3/4Pp1P/Q7/2q2BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3Pp3/4qp1P/Q7/5BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3Pp3/4qp1P/Q7/5B2/6K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3qp3/5p1P/Q7/5B2/6K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3qp3/5p1P/7Q/5B2/6K1, Games: 2, Wins: 0, Losses: 2, Draws: 0
FEN: 8/1kb5/1p1p4/4p3/5p1P/7Q/5B2/3q2K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/4p3/5p1P/7Q/5BK1/3q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3qp3/5p1P/7Q/5BK1/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3qp3/7P/5p1Q/5B2/6K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3qp2P/8/5p1Q/5B2/6K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p4/3q3P/4p3/5p1Q/5B2/6K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p3P/3q4/4p3/5p1Q/5B2/6K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p3P/8/4p3/5p1Q/5B2/3q2K1, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p1p3P/8/4p3/5p1Q/5B1K/3q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p5P/3p4/4p3/5p1Q/5B1K/3q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p5P/3p4/4p3/5pBQ/7K/3q4, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p5P/3p4/4p3/5pBQ/4q2K/8, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1kb5/1p5P/3p4/4p3/5pBQ/4q3/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1k6/1p5P/3p4/4p3/5pbQ/4q3/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1k6/1p5P/3p4/4p3/5pQ1/4q3/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1k6/1p5P/3p4/4p3/6Q1/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/1k4Q1/1p5P/3p4/4p3/8/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/6Q1/1pk4P/3p4/4p3/8/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/8/1pk3QP/3p4/4p3/8/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/8/1p4QP/1k1p4/4p3/8/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 4Q3/8/1p5P/1k1p4/4p3/8/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 4Q3/8/1p5P/3p4/1k2p3/8/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/4Q3/1p5P/3p4/1k2p3/8/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: 8/4Q3/1p5P/3p4/4p3/1k6/4qp2/7K, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR, Games: 34, Wins: 11, Losses: 22, Draws: 1
FEN: rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R, Games: 34, Wins: 11, Losses: 22, Draws: 1
FEN: r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R, Games: 30, Wins: 10, Losses: 19, Draws: 1
FEN: r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R, Games: 29, Wins: 9, Losses: 19, Draws: 1
FEN: r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R, Games: 26, Wins: 7, Losses: 19, Draws: 0
FEN: r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R, Games: 26, Wins: 7, Losses: 19, Draws: 0
FEN: r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/2N2N2/PPPP1PPP/R1BQK2R, Games: 5, Wins: 0, Losses: 5, Draws: 0
FEN: r1bqk2r/pppp1ppp/2n2n2/1Bb1N3/4P3/2N5/PPPP1PPP/R1BQK2R, Games: 5, Wins: 0, Losses: 5, Draws: 0
FEN: r1bqk2r/pppp1ppp/5n2/1Bb1n3/4P3/2N5/PPPP1PPP/R1BQK2R, Games: 4, Wins: 0, Losses: 4, Draws: 0
FEN: r1bqk2r/pppp1ppp/5n2/1Bb1n3/3PP3/2N5/PPP2PPP/R1BQK2R, Games: 4, Wins: 0, Losses: 4, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p4n2/1Bb1n3/3PP3/2N5/PPP2PPP/R1BQK2R, Games: 2, Wins: 0, Losses: 2, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p4n2/2b1n3/3PP3/2N5/PPP1BPPP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p2b1n2/4n3/3PP3/2N5/PPP1BPPP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p2b1n2/4n3/3PPP2/2N5/PPP1B1PP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p1nb1n2/8/3PPP2/2N5/PPP1B1PP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p1nb1n2/4P3/3P1P2/2N5/PPP1B1PP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p1n2n2/4P3/1b1P1P2/2N5/PPP1B1PP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p1n2n2/3PP3/1b3P2/2N5/PPP1B1PP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p1n5/3PP3/1b2nP2/2N5/PPP1B1PP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqk2r/1ppp1ppp/p1P5/4P3/1b2nP2/2N5/PPP1B1PP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1k2r/1ppp1ppp/p1P5/4P3/1b2nP1q/2N5/PPP1B1PP/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1k2r/1ppp1ppp/p1P5/4P3/1b2nP1q/2N3P1/PPP1B2P/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1k2r/1ppp1ppp/p1P5/4P3/1b3P1q/2N3n1/PPP1B2P/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1k2r/1ppp1ppp/p1P5/4P3/1b3P1q/2N3P1/PPP1B3/R1BQK2R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1k2r/1ppp1ppp/p1P5/4P3/1b3P2/2N3P1/PPP1B3/R1BQK2q, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1k2r/1ppp1ppp/p1P5/4P3/1b3P2/2N3P1/PPP5/R1BQKB1q, Games: 1, Wins: 0, Losses: 1, Draws: 0
